"","State","Agency","Abbr"
"1","federal","AbilityOne Commission",""
"2","federal","Access Board",""
"3","federal","Administration for Children and Families",""
"4","federal","Administration for Community Living",""
"5","federal","Administration for Native Americans",""
"6","federal","Administrative Conference of the United States",""
"7","federal","Administrative Office of the US Courts",""
"8","federal","Advisory Council on Historic Preservation",""
"9","federal","African Development Foundation",""
"10","federal","Agency for Global Media",""
"11","federal","Agency for Healthcare Research and Quality",""
"12","federal","Agency for International Development",""
"13","federal","Agency for Toxic Substances and Disease Registry",""
"14","federal","Agricultural Marketing Service",""
"15","federal","Agricultural Research Service","USDAARS"
"16","federal","Agriculture Department",""
"17","federal","Agriculture Library",""
"18","federal","Air Force",""
"19","federal","Air Force Reserve",""
"20","federal","Alcohol and Tobacco Tax and Trade Bureau",""
"21","federal","Alcohol, Tobacco, Firearms and Explosives Bureau",""
"22","federal","Alhurra TV",""
"23","federal","American Battle Monuments Commission",""
"24","federal","AmeriCorps",""
"25","federal","AmeriCorps Seniors",""
"26","federal","Amtrak",""
"27","federal","Animal and Plant Health Inspection Service","USDAAPHIS"
"28","federal","Antitrust Division",""
"29","federal","Appalachian Regional Commission",""
"30","federal","Architect of the Capitol",""
"31","federal","Archives, National Archives and Records Administration",""
"32","federal","Arctic Research Commission",""
"33","federal","Armed Forces Retirement Home",""
"34","federal","Arms Control and International Security",""
"35","federal","Army",""
"36","federal","Army Corps of Engineers","USACE"
"37","federal","Army Corps of Engineers","USACOE"
"38","federal","Army Corps of Engineers","ACE"
"39","federal","Arthritis, Musculoskeletal and Skin Diseases, National Institute of",""
"40","federal","Bankruptcy Courts",""
"41","federal","Barry M Goldwater Scholarship and Excellence in Education Program",""
"42","federal","Bonneville Power Administration",""
"43","federal","Botanic Garden",""
"44","federal","Bureau of Alcohol and Tobacco Tax and Trade",""
"45","federal","Bureau of Alcohol, Tobacco, Firearms and Explosives",""
"46","federal","Bureau of Consular Affairs",""
"47","federal","Bureau of Consumer Financial Protection",""
"48","federal","Bureau of Economic Analysis",""
"49","federal","Bureau of Engraving and Printing",""
"50","federal","Bureau of Indian Affairs",""
"51","federal","Bureau of Industry and Security",""
"52","federal","Bureau of International Labor Affairs",""
"53","federal","Bureau of Justice Statistics",""
"54","federal","Bureau of Labor Statistics",""
"55","federal","Bureau of Land Management","USBLM"
"56","federal","Bureau of Land Management","BLM"
"57","federal","Bureau of Ocean Energy Management",""
"58","federal","Bureau of Prisons",""
"59","federal","Bureau of Reclamation","USBR"
"60","federal","Bureau of Reclamation","USBOR"
"61","federal","Bureau of Safety and Environmental Enforcement",""
"62","federal","Bureau of the Census",""
"63","federal","Bureau of the Fiscal Service",""
"64","federal","Bureau of Transportation Statistics",""
"65","federal","Capitol Police",""
"66","federal","Capitol Visitor Center",""
"67","federal","Career, Technical, and Adult Education, Office of",""
"68","federal","Census Bureau",""
"69","federal","Center for Food Safety and Applied Nutrition",""
"70","federal","Center for Nutrition Policy and Promotion",""
"71","federal","Center for Parent Information and Resources",""
"72","federal","Centers for Disease Control and Prevention","CDC"
"73","federal","Centers for Medicare and Medicaid Services",""
"74","federal","Central Command",""
"75","federal","Central Intelligence Agency",""
"76","federal","Chemical Safety Board",""
"77","federal","Chief Acquisition Officers Council",""
"78","federal","Chief Financial Officers Council",""
"79","federal","Chief Human Capital Officers Council",""
"80","federal","Chief Information Officers Council",""
"81","federal","Child Support Enforcement, Office of",""
"82","federal","Circuit Courts of Appeal",""
"83","federal","Citizens' Stamp Advisory Committee",""
"84","federal","Citizenship and Immigration Services",""
"85","federal","Civil Rights Division, Department of Justice",""
"86","federal","Civil Rights, Department of Education Office of",""
"87","federal","Civil Rights, Department of Health and Human Services Office for",""
"88","federal","Coast Guard",""
"89","federal","College of Information and Cyberspace",""
"90","federal","Commerce Department",""
"91","federal","Commission of Fine Arts",""
"92","federal","Commission on Civil Rights",""
"93","federal","Commission on International Religious Freedom",""
"94","federal","Commission on Presidential Scholars",""
"95","federal","Commission on Security and Cooperation in Europe",""
"96","federal","Committee for the Implementation of Textile Agreements",""
"97","federal","Committee on Foreign Investment in the United States",""
"98","federal","Commodity Futures Trading Commission",""
"99","federal","Community Oriented Policing Services",""
"100","federal","Community Planning and Development",""
"101","federal","Compliance, Office of",""
"102","federal","Comptroller of the Currency, Office of",""
"103","federal","Computer Emergency Readiness Team",""
"104","federal","Congress—US House of Representatives",""
"105","federal","Congress—US Senate",""
"106","federal","Congressional Budget Office",""
"107","federal","Congressional Research Service",""
"108","federal","Consular Affairs, Bureau of",""
"109","federal","Consumer Financial Protection Bureau",""
"110","federal","Consumer Product Safety Commission",""
"111","federal","Coordinating Council on Juvenile Justice and Delinquency Prevention",""
"112","federal","Copyright Office",""
"113","federal","Corps of Engineers",""
"114","federal","Council of Economic Advisers",""
"115","federal","Council of the Inspectors General on Integrity and Efficiency",""
"116","federal","Council on Environmental Quality",""
"117","federal","Court of Appeals for the Armed Forces",""
"118","federal","Court of Appeals for the Federal Circuit",""
"119","federal","Court of Appeals for Veterans Claims",""
"120","federal","Court of Federal Claims",""
"121","federal","Court of International Trade",""
"122","federal","Court Services and Offender Supervision Agency for the District of Columbia",""
"123","federal","Customs and Border Protection",""
"124","federal","Cybersecurity and Infrastructure Security Agency",""
"125","federal","Debt and Claims Management Center",""
"126","federal","Defense Acquisition University",""
"127","federal","Defense Advanced Research Projects Agency",""
"128","federal","Defense Commissary Agency",""
"129","federal","Defense Contract Audit Agency",""
"130","federal","Defense Contract Management Agency",""
"131","federal","Defense Counterintelligence and Security Agency",""
"132","federal","Defense Department",""
"133","federal","Defense Finance and Accounting Service",""
"134","federal","Defense Finance and Accounting Service Debt and Claims Management Center",""
"135","federal","Defense Health Agency",""
"136","federal","Defense Information Systems Agency",""
"137","federal","Defense Intelligence Agency",""
"138","federal","Defense Logistics Agency",""
"139","federal","Defense Nuclear Facilities Safety Board",""
"140","federal","Defense Security Cooperation Agency",""
"141","federal","Defense Technical Information Center",""
"142","federal","Defense Threat Reduction Agency",""
"143","federal","Delaware River Basin Commission",""
"144","federal","Delta Regional Authority",""
"145","federal","Denali Commission",""
"146","federal","Department of Agriculture",""
"147","federal","Department of Commerce",""
"148","federal","Department of Defense",""
"149","federal","Department of Education",""
"150","federal","Department of Energy",""
"151","federal","Department of Health and Human Services",""
"152","federal","Department of Homeland Security",""
"153","federal","Department of Housing and Urban Development","HUD"
"154","federal","Department of Justice",""
"155","federal","Department of Labor",""
"156","federal","Department of State",""
"157","federal","Department of the Interior",""
"158","federal","Department of the Treasury",""
"159","federal","Department of Transportation","USDOT"
"160","federal","Department of Veterans Affairs",""
"161","federal","Director of National Intelligence, Office of",""
"162","federal","Disability Employment Policy, Office of",""
"163","federal","Drug Enforcement Administration",""
"164","federal","Dwight D Eisenhower School for National Security and Resource Strategy",""
"165","federal","Economic Analysis, Bureau of",""
"166","federal","Economic Development Administration",""
"167","federal","Economic Growth, Energy, and the Environment",""
"168","federal","Economic Research Service","USDAERS"
"169","federal","Education Department",""
"170","federal","Elder Justice Initiative",""
"171","federal","Election Assistance Commission",""
"172","federal","Elementary and Secondary Education, Office of",""
"173","federal","Employee Benefits Security Administration",""
"174","federal","Employment and Training Administration",""
"175","federal","Endangered Species Program",""
"176","federal","Energy Department",""
"177","federal","Energy Information Administration",""
"178","federal","Energy Star Program",""
"179","federal","English Language Acquisition Office",""
"180","federal","Engraving and Printing, Bureau of",""
"181","federal","Environmental Management, Office of",""
"182","federal","Environmental Protection Agency","USEPA"
"183","federal","Environmental Protection Agency","EPA"
"184","federal","Equal Employment Opportunity Commission",""
"185","federal","European Command",""
"186","federal","Executive Office for Immigration Review",""
"187","federal","Export-Import Bank of the United States",""
"188","federal","Fair Housing and Equal Opportunity",""
"189","federal","Fannie Mae",""
"190","federal","Farm Credit Administration",""
"191","federal","Farm Credit System Insurance Corporation",""
"192","federal","Farm Service Agency",""
"193","federal","Federal Accounting Standards Advisory Board",""
"194","federal","Federal Aviation Administration",""
"195","federal","Federal Bureau of Investigation",""
"196","federal","Federal Bureau of Prisons",""
"197","federal","Federal Citizen Information Center",""
"198","federal","Federal Communications Commission",""
"199","federal","Federal Consulting Group",""
"200","federal","Federal Court Interpreters",""
"201","federal","Federal Deposit Insurance Corporation",""
"202","federal","Federal Election Commission",""
"203","federal","Federal Emergency Management Agency",""
"204","federal","Federal Energy Regulatory Commission",""
"205","federal","Federal Executive Boards",""
"206","federal","Federal Financial Institutions Examination Council",""
"207","federal","Federal Financing Bank",""
"208","federal","Federal Geographic Data Committee",""
"209","federal","Federal Highway Administration","FHWA"
"210","federal","Federal Home Loan Mortgage Corporation",""
"211","federal","Federal Housing Administration",""
"212","federal","Federal Housing Finance Agency",""
"213","federal","Federal Interagency Committee on Education",""
"214","federal","Federal Interagency Council on Statistical Policy",""
"215","federal","Federal Judicial Center",""
"216","federal","Federal Labor Relations Authority",""
"217","federal","Federal Laboratory Consortium for Technology Transfer",""
"218","federal","Federal Law Enforcement Training Center",""
"219","federal","Federal Library and Information Center Committee",""
"220","federal","Federal Maritime Commission",""
"221","federal","Federal Mediation and Conciliation Service",""
"222","federal","Federal Mine Safety and Health Review Commission",""
"223","federal","Federal Motor Carrier Safety Administration",""
"224","federal","Federal National Mortgage Association",""
"225","federal","Federal Protective Service",""
"226","federal","Federal Railroad Administration",""
"227","federal","Federal Register",""
"228","federal","Federal Reserve System",""
"229","federal","Federal Retirement Thrift Investment Board",""
"230","federal","Federal Student Aid Information Center",""
"231","federal","Federal Trade Commission",""
"232","federal","Federal Transit Administration",""
"233","federal","Federal Voting Assistance Program",""
"234","federal","FedStats",""
"235","federal","Fire Administration",""
"236","federal","Fiscal Service, Bureau of the",""
"237","federal","Fish and Wildlife Service",""
"238","federal","Fleet Forces Command",""
"239","federal","Food and Agriculture, National Institute of",""
"240","federal","Food and Drug Administration",""
"241","federal","Food and Nutrition Service",""
"242","federal","Food Safety and Inspection Service",""
"243","federal","Foreign Agricultural Service",""
"244","federal","Foreign Claims Settlement Commission",""
"245","federal","Forest Service",""
"246","federal","Fossil Energy",""
"247","federal","Freddie Mac",""
"248","federal","Fulbright Foreign Scholarship Board",""
"249","federal","General Services Administration",""
"250","federal","Geological Survey","USGS"
"251","federal","Ginnie Mae",""
"252","federal","Global Media, Agency for",""
"253","federal","Government Accountability Office",""
"254","federal","Government Ethics, Office of",""
"255","federal","Government National Mortgage Association",""
"256","federal","Government Publishing Office",""
"257","federal","Grain Inspection, Packers and Stockyards Administration",""
"258","federal","Harry S Truman Scholarship Foundation",""
"259","federal","Health and Human Services Department",""
"260","federal","Health Resources and Services Administration",""
"261","federal","Helsinki Commission",""
"262","federal","Holocaust Memorial Museum",""
"263","federal","Homeland Security Department",""
"264","federal","Hour and Wage Division",""
"265","federal","House of Representatives",""
"266","federal","House Office of Inspector General",""
"267","federal","House Office of the Clerk",""
"268","federal","Housing and Urban Development, Department of",""
"269","federal","Housing Office",""
"270","federal","Immigrant and Employee Rights Section",""
"271","federal","Immigration and Citizenship Services",""
"272","federal","Immigration and Customs Enforcement",""
"273","federal","Indian Affairs",""
"274","federal","Indian Arts and Crafts Board",""
"275","federal","Indian Health Service",""
"276","federal","Indoor Air Quality",""
"277","federal","Industrial College of the Armed Forces",""
"278","federal","Industry and Security, Bureau of",""
"279","federal","Inspectors General",""
"280","federal","Institute of Education Sciences",""
"281","federal","Institute of Museum and Library Services",""
"282","federal","Institute of Peace",""
"283","federal","Inter-American Foundation",""
"284","federal","Interagency Alternative Dispute Resolution Working Group",""
"285","federal","Interagency Committee for the Management of Noxious and Exotic Weeds",""
"286","federal","Interagency Council on Homelessness",""
"287","federal","Interior Department",""
"288","federal","Internal Revenue Service",""
"289","federal","International Development Finance Corporation",""
"290","federal","International Labor Affairs, Bureau of",""
"291","federal","International Trade Administration",""
"292","federal","International Trade Commission",""
"293","federal","Interpol",""
"294","federal","James Madison Memorial Fellowship Foundation",""
"295","federal","Japan-United States Friendship Commission",""
"296","federal","Job Corps",""
"297","federal","John F Kennedy Center for the Performing Arts",""
"298","federal","Joint Board for the Enrollment of Actuaries",""
"299","federal","Joint Chiefs of Staff",""
"300","federal","Joint Congressional Committee on Inaugural Ceremonies",""
"301","federal","Joint Fire Science Program",""
"302","federal","Joint Forces Staff College",""
"303","federal","Joint Military Intelligence College",""
"304","federal","Joint Program Executive Office for Chemical and Biological Defense",""
"305","federal","Judicial Circuit Courts of Appeal",""
"306","federal","Judicial Panel on Multidistrict Litigation",""
"307","federal","Justice Department",""
"308","federal","Justice Programs, Office of",""
"309","federal","Justice Statistics, Bureau of",""
"310","federal","Juvenile Justice and Delinquency Prevention, Office of",""
"311","federal","Kennedy Center",""
"312","federal","Labor Department",""
"313","federal","Labor Statistics, Bureau of",""
"314","federal","Land Management, Bureau of",""
"315","federal","Legal Services Corporation",""
"316","federal","Library of Congress",""
"317","federal","Manufactured Housing Programs, Office of",""
"318","federal","Marine Corps",""
"319","federal","Marine Mammal Commission",""
"320","federal","Maritime Administration",""
"321","federal","Marketing and Regulatory Programs",""
"322","federal","Marshals Service",""
"323","federal","Meat and Poultry Hotline",""
"324","federal","Mediation and Conciliation Service",""
"325","federal","Medicaid",""
"326","federal","Medicaid and CHIP Payment and Access Commission",""
"327","federal","Medicare",""
"328","federal","Medicare Payment Advisory Commission",""
"329","federal","Merit Systems Protection Board",""
"330","federal","Middle East Broadcasting Networks",""
"331","federal","Migratory Bird Conservation Commission",""
"332","federal","Military Postal Service Agency",""
"333","federal","Millennium Challenge Corporation",""
"334","federal","Mine Safety and Health Administration",""
"335","federal","Minority Business Development Agency",""
"336","federal","Minority Health, Office of",""
"337","federal","Mint",""
"338","federal","Missile Defense Agency",""
"339","federal","Mississippi River Commission",""
"340","federal","Morris K Udall and Stewart L Udall Foundation",""
"341","federal","Multifamily Housing Office",""
"342","federal","National Aeronautics and Space Administration","NASA"
"343","federal","National Agricultural Statistics Service",""
"344","federal","National Archives and Records Administration",""
"345","federal","National Cancer Institute",""
"346","federal","National Capital Planning Commission",""
"347","federal","National Cemetery Administration",""
"348","federal","National Constitution Center",""
"349","federal","National Council on Disability",""
"350","federal","National Credit Union Administration",""
"351","federal","National Defense University",""
"352","federal","National Defense University iCollege",""
"353","federal","National Endowment for the Arts",""
"354","federal","National Endowment for the Humanities",""
"355","federal","National Flood Insurance Program",""
"356","federal","National Gallery of Art",""
"357","federal","National Geospatial-Intelligence Agency",""
"358","federal","National Guard",""
"359","federal","National Health Information Center",""
"360","federal","National Heart, Lung, and Blood Institute",""
"361","federal","National Highway Traffic Safety Administration",""
"362","federal","National Indian Gaming Commission",""
"363","federal","National Institute of Arthritis, Musculoskeletal and Skin Diseases",""
"364","federal","National Institute of Corrections",""
"365","federal","National Institute of Deafness and Other Communication Disorders",""
"366","federal","National Institute of Diabetes and Digestive and Kidney Diseases",""
"367","federal","National Institute of Food and Agriculture",""
"368","federal","National Institute of Justice",""
"369","federal","National Institute of Mental Health",""
"370","federal","National Institute of Neurological Disorders and Stroke",""
"371","federal","National Institute of Occupational Safety and Health",""
"372","federal","National Institute of Standards and Technology","NIST"
"373","federal","National Institutes of Health",""
"374","federal","National Intelligence University",""
"375","federal","National Interagency Fire Center",""
"376","federal","National Labor Relations Board",""
"377","federal","National Laboratories",""
"378","federal","National Library of Agriculture",""
"379","federal","National Marine Fisheries Service",""
"380","federal","National Mediation Board",""
"381","federal","National Nuclear Security Administration",""
"382","federal","National Ocean Service",""
"383","federal","National Oceanic and Atmospheric Administration","NOAA "
"384","federal","National Park Foundation",""
"385","federal","National Park Service",""
"386","federal","National Passport Information Center",""
"387","federal","National Pesticide Information Center",""
"388","federal","National Prevention Information Network",""
"389","federal","National Railroad Passenger Corporation",""
"390","federal","National Reconnaissance Office",""
"391","federal","National Science Foundation",""
"392","federal","National Security Agency",""
"393","federal","National Security Council",""
"394","federal","National Technical Information Service",""
"395","federal","National Telecommunications and Information Administration",""
"396","federal","National Transportation Safety Board",""
"397","federal","National War College",""
"398","federal","National Weather Service",""
"399","federal","Natural Resources Conservation Service","USDANRCS"
"400","federal","Natural Resources Conservation Service","NRCS"
"401","federal","Natural Resources Revenue, Office of",""
"402","federal","Navy",""
"403","federal","NOAA Fisheries",""
"404","federal","Northern Border Regional Commission",""
"405","federal","Northern Command",""
"406","federal","Northwest Power and Conservation Council",""
"407","federal","Northwest Power Planning Council",""
"408","federal","Nuclear Energy, Office of",""
"409","federal","Nuclear Regulatory Commission","USNRC"
"410","federal","Nuclear Regulatory Commission","NRC"
"411","federal","Nuclear Waste Technical Review Board",""
"412","federal","Oak Ridge National Laboratory",""
"413","federal","Occupational Safety and Health Administration","OSHA"
"414","federal","Occupational Safety and Health Review Commission",""
"415","federal","Ocean Energy Management, Bureau of",""
"416","federal","Office for Civil Rights, Department of Education",""
"417","federal","Office for Civil Rights, Department of Health and Human Services",""
"418","federal","Office of Career, Technical, and Adult Education",""
"419","federal","Office of Child Support Enforcement",""
"420","federal","Office of Community Planning and Development",""
"421","federal","Office of Compliance",""
"422","federal","Office of Cuba Broadcasting",""
"423","federal","Office of Disability Employment Policy",""
"424","federal","Office of Economic Adjustment",""
"425","federal","Office of Elementary and Secondary Education",""
"426","federal","Office of Environmental Management",""
"427","federal","Office of Fair Housing and Equal Opportunity",""
"428","federal","Office of Fossil Energy",""
"429","federal","Office of Government Ethics",""
"430","federal","Office of Housing",""
"431","federal","Office of Immigrant and Employee Rights",""
"432","federal","Office of Investor Education and Advocacy",""
"433","federal","Office of Justice Programs",""
"434","federal","Office of Juvenile Justice and Delinquency Prevention",""
"435","federal","Office of Lead Hazard Control and Healthy Homes",""
"436","federal","Office of Management and Budget",""
"437","federal","Office of Manufactured Housing Programs",""
"438","federal","Office of Minority Health",""
"439","federal","Office of National Drug Control Policy",""
"440","federal","Office of Natural Resources Revenue",""
"441","federal","Office of Nuclear Energy",""
"442","federal","Office of Personnel Management",""
"443","federal","Office of Policy Development and Research",""
"444","federal","Office of Postsecondary Education",""
"445","federal","Office of Refugee Resettlement",""
"446","federal","Office of Science and Technology Policy",""
"447","federal","Office of Scientific and Technical Information",""
"448","federal","Office of Servicemember Affairs",""
"449","federal","Office of Special Counsel",""
"450","federal","Office of Special Education and Rehabilitative Services",""
"451","federal","Office of Surface Mining, Reclamation and Enforcement",""
"452","federal","Office of the Assistant Secretary for Research and Technology",""
"453","federal","Office of the Comptroller of the Currency",""
"454","federal","Office of the Director of National Intelligence",""
"455","federal","Office of the Federal Register",""
"456","federal","Office of the Pardon Attorney",""
"457","federal","Office on Violence Against Women",""
"458","federal","Open World Leadership Center",""
"459","federal","Pacific Command",""
"460","federal","Pacific Northwest Electric Power and Conservation Planning Council",""
"461","federal","Pardon Attorney, Office of",""
"462","federal","Parent Information and Resources Center",""
"463","federal","Parole Commission",""
"464","federal","Patent and Trademark Office",""
"465","federal","Peace Corps",""
"466","federal","Pension Benefit Guaranty Corporation",""
"467","federal","Pentagon Force Protection Agency",""
"468","federal","Pipeline and Hazardous Materials Safety Administration",""
"469","federal","Policy Development and Research",""
"470","federal","Political Affairs",""
"471","federal","Postal Inspection Service",""
"472","federal","Postal Regulatory Commission",""
"473","federal","Postal Service",""
"474","federal","Postsecondary Education, Office of",""
"475","federal","Power Administrations",""
"476","federal","President's Council on Fitness, Sports and Nutrition",""
"477","federal","Presidential Scholars Commission",""
"478","federal","Presidio Trust",""
"479","federal","Pretrial Services Agency for the District of Columbia",""
"480","federal","Prevention Information Network",""
"481","federal","Prisoner of War and Missing in Action Accounting Agency",""
"482","federal","Privacy and Civil Liberties Oversight Board",""
"483","federal","Public and Indian Housing",""
"484","federal","Public Diplomacy and Public Affairs",""
"485","federal","Radio and TV Martí",""
"486","federal","Radio Free Asia",""
"487","federal","Radio Free Europe and Radio Liberty",""
"488","federal","Radio Sawa",""
"489","federal","Railroad Retirement Board",""
"490","federal","Reclamation, Bureau of",""
"491","federal","Refugee Resettlement, Office of",""
"492","federal","Rehabilitation Services Administration",""
"493","federal","Risk Management Agency",""
"494","federal","Rural Business and Cooperative Programs",""
"495","federal","Rural Development",""
"496","federal","Rural Housing Service",""
"497","federal","Rural Utilities Service",""
"498","federal","Safety and Environmental Enforcement, Bureau of",""
"499","federal","Saint Lawrence Seaway Development Corporation",""
"500","federal","Science and Technology Policy, Office of",""
"501","federal","Science Office",""
"502","federal","Scientific and Technical Information, Office of",""
"503","federal","Seafood Inspection Program",""
"504","federal","Secret Service",""
"505","federal","Securities and Exchange Commission",""
"506","federal","Selective Service System",""
"507","federal","Senate",""
"508","federal","Sentencing Commission",""
"509","federal","Servicemember Affairs, Office of",""
"510","federal","Small Business Administration",""
"511","federal","Smithsonian Institution",""
"512","federal","Social Security Administration",""
"513","federal","Social Security Advisory Board",""
"514","federal","Southeastern Power Administration",""
"515","federal","Southern Command",""
"516","federal","Southwestern Power Administration",""
"517","federal","Special Counsel, Office of",""
"518","federal","Special Education and Rehabilitative Services, Office of",""
"519","federal","Special Forces Operations Command",""
"520","federal","State Department",""
"521","federal","State Justice Institute",""
"522","federal","Stennis Center for Public Service",""
"523","federal","Strategic Command",""
"524","federal","Substance Abuse and Mental Health Services Administration",""
"525","federal","Supreme Court of the United States",""
"526","federal","Surface Mining, Reclamation and Enforcement, Office of",""
"527","federal","Surface Transportation Board",""
"528","federal","Susquehanna River Basin Commission",""
"529","federal","Tax Court",""
"530","federal","Taxpayer Advocacy Panel",""
"531","federal","Tennessee Valley Authority",""
"532","federal","Trade and Development Agency",""
"533","federal","Trade Representative",""
"534","federal","Transportation Department",""
"535","federal","Transportation Security Administration",""
"536","federal","Transportation Statistics, Bureau of",""
"537","federal","Treasury Department",""
"538","federal","Trustee Program",""
"539","federal","Unified Combatant Commands",""
"540","federal","Uniformed Services University of the Health Sciences",""
"541","federal","US AbilityOne Commission",""
"542","federal","US Access Board",""
"543","federal","US Agency for Global Media",""
"544","federal","US Agency for International Development",""
"545","federal","US Air Force","USAF"
"546","federal","US Air Force Reserve Command",""
"547","federal","US Arctic Research Commission",""
"548","federal","US Army",""
"549","federal","US Army Corps of Engineers",""
"550","federal","US Botanic Garden",""
"551","federal","US Capitol Police",""
"552","federal","US Capitol Visitor Center",""
"553","federal","US Census Bureau","USCB"
"554","federal","US Central Command",""
"555","federal","US Chemical Safety Board",""
"556","federal","US Citizenship and Immigration Services",""
"557","federal","US Coast Guard","USCG"
"558","federal","US Commission of Fine Arts",""
"559","federal","US Commission on International Religious Freedom",""
"560","federal","US Commodity Futures Trading Commission",""
"561","federal","US Court of Appeals for Veterans Claims",""
"562","federal","US Courts of Appeal",""
"563","federal","US Customs and Border Protection",""
"564","federal","US Department of Agriculture","USDA"
"565","federal","US Department of Commerce",""
"566","federal","US Department of Defense",""
"567","federal","US Department of Education",""
"568","federal","US Department of Energy",""
"569","federal","US Department of Health and Human Services",""
"570","federal","US Department of Homeland Security",""
"571","federal","US Department of Housing and Urban Development",""
"572","federal","US Department of Justice",""
"573","federal","US Department of Labor",""
"574","federal","US Department of State",""
"575","federal","US Department of the Interior",""
"576","federal","US Department of the Treasury",""
"577","federal","US Department of Transportation",""
"578","federal","US Department of Veterans Affairs",""
"579","federal","US Election Assistance Commission",""
"580","federal","US European Command",""
"581","federal","US Fire Administration",""
"582","federal","US Fleet Forces Command",""
"583","federal","US Geological Survey",""
"584","federal","US House of Representatives",""
"585","federal","US Immigration and Customs Enforcement",""
"586","federal","US International Development Finance Corporation",""
"587","federal","US International Trade Commission",""
"588","federal","US Marine Corps",""
"589","federal","US Marshals Service",""
"590","federal","US Military Academy, West Point",""
"591","federal","US Mint",""
"592","federal","US Mission to the United Nations",""
"593","federal","US National Central Bureau - Interpol",""
"594","federal","US Navy",""
"595","federal","US Northern Command",""
"596","federal","US Nuclear Regulatory Commission",""
"597","federal","US Pacific Command",""
"598","federal","US Parole Commission",""
"599","federal","US Patent and Trademark Office",""
"600","federal","US Postal Inspection Service",""
"601","federal","US Postal Service",""
"602","federal","US Senate",""
"603","federal","US Sentencing Commission",""
"604","federal","US Southern Command",""
"605","federal","US Special Operations Command",""
"606","federal","US Strategic Command",""
"607","federal","US Trade and Development Agency",""
"608","federal","US Trade Representative",""
"609","federal","US Transportation Command",""
"610","federal","US Trustee Program",""
"611","federal","US-CERT",""
"612","federal","USAGov",""
"613","federal","Veterans Affairs Department",""
"614","federal","Veterans Benefits Administration",""
"615","federal","Veterans Day National Committee",""
"616","federal","Veterans Health Administration",""
"617","federal","Veterans' Employment and Training Service",""
"618","federal","Violence Against Women, Office on",""
"619","federal","Voice of America",""
"620","federal","Wage and Hour Division",""
"621","federal","Washington Headquarters Services",""
"622","federal","Weather Service",""
"623","federal","Weights and Measures Division",""
"624","federal","West Point Military Academy",""
"625","federal","Western Area Power Administration",""
"626","federal","White House",""
"627","federal","Wireless Telecommunications Bureau",""
"628","federal","Women's Bureau",""
"629","federal","Woodrow Wilson International Center for Scholars",""
"630","Alabama","Air Conditioning & Refrigeration Contractors, Alabama Board of Heating",""
"631","Alabama","Alabama : Alabama Department of Human Resources Children's Justice Task Force",""
"632","Alabama","Alabama : Alabama Legislature House of Representatives",""
"633","Alabama","Alabama 911 Board",""
"634","Alabama","Alabama A & M University",""
"635","Alabama","Alabama Administrative Office of Courts",""
"636","Alabama","Alabama Agency of Elk River Development",""
"637","Alabama","Alabama Agricultural Center Board",""
"638","Alabama","Alabama Alcoholic Beverage Control Board",""
"639","Alabama","Alabama Athens State University",""
"640","Alabama","Alabama Athlete Agents Commission",""
"641","Alabama","Alabama Athletic Commission",""
"642","Alabama","Alabama Auburn University",""
"643","Alabama","Alabama Aviation Hall of Fame",""
"644","Alabama","Alabama Bear Creek Dvelopment Authority",""
"645","Alabama","Alabama Blakely Historic Authority",""
"646","Alabama","Alabama Board for Registered Interior Designers",""
"647","Alabama","Alabama Board for Registration of Architects",""
"648","Alabama","Alabama Board for Speech-Language Pathology and Audiology",""
"649","Alabama","Alabama Board of Adjustment",""
"650","Alabama","Alabama Board of Agricultural Museum",""
"651","Alabama","Alabama Board of Athletic Trainers",""
"652","Alabama","Alabama Board of Cosmetology & Barbering",""
"653","Alabama","Alabama Board of Court Reporting",""
"654","Alabama","Alabama Board of Dental Examiners",""
"655","Alabama","Alabama Board of Dental Scholarship Awards",""
"656","Alabama","Alabama Board of Examiners Assisted Living Administrators",""
"657","Alabama","Alabama Board of Examiners for Dietetics",""
"658","Alabama","Alabama Board of Examiners in Counseling",""
"659","Alabama","Alabama Board of Examiners in Marriage and Family Therapy",""
"660","Alabama","Alabama Board of Examiners Nursing Home Administrators",""
"661","Alabama","Alabama Board of Examiners of Landscape Architects",""
"662","Alabama","Alabama Board of Funeral Services",""
"663","Alabama","Alabama Board of Home Medical Equipment",""
"664","Alabama","Alabama Board of Licensure for Professional Engineers & Land Surveyors",""
"665","Alabama","Alabama Board of Licensure for Professional Geologists",""
"666","Alabama","Alabama Board of Massage Therapy",""
"667","Alabama","Alabama Board of Medical Examiners & Medical Licensure Commission of Alabama",""
"668","Alabama","Alabama Board of Medical Scholarship Awards",""
"669","Alabama","Alabama Board of Nursing",""
"670","Alabama","Alabama Board of Optometry",""
"671","Alabama","Alabama Board of Pardons & Paroles",""
"672","Alabama","Alabama Board of Pharmacy",""
"673","Alabama","Alabama Board of Physical Therapy",""
"674","Alabama","Alabama Board of Podiatry",""
"675","Alabama","Alabama Board of Psychology Examiners",""
"676","Alabama","Alabama Board of Real Estate Appraisers",""
"677","Alabama","Alabama Board of Registration for Foresters",""
"678","Alabama","Alabama Cahaba Trace Commission",""
"679","Alabama","Alabama Cahawba Advisory Committee",""
"680","Alabama","Alabama Commission of Agricultural and Conservation Development",""
"681","Alabama","Alabama Commission of Ethics",""
"682","Alabama","Alabama Commission of Forestry",""
