"lat","lng","DAC","place_name","place_type"
32.7303569771542,-117.078773816046,0.5,"oak_park","neighborhood"
33.2495298697668,-117.314879399582,0.5,"north_valley","neighborhood"
34.2657218462797,-118.42624162783,0.5,"pacoima","neighborhood"
34.3095081636078,-118.43777900871,0.5,"sylmar","neighborhood"
34.2909015953461,-118.507468698016,0,"granada_hills_north","neighborhood"
34.1666155578538,-118.398425053107,0.5,"valley_village","neighborhood"
34.2002074221032,-118.479304072523,0.5,"lake_balboa","neighborhood"
34.1992761567818,-118.469987321475,0.5,"van_nuys","neighborhood"
34.204665251439,-118.560086715777,0.5,"reseda","neighborhood"
33.9481221301371,-118.287238106632,0.5,"vermont_vista","neighborhood"
34.1623229092603,-118.262441424974,0.5,"verdugo_viejo","neighborhood"
34.1636236109788,-118.267806384556,0.5,"glenwood","neighborhood"
34.2618978739941,-118.475550768763,0,"mission_hills","neighborhood"
34.2629392175404,-118.485983613512,0.5,"granada_hills_south","neighborhood"
34.229941196812,-118.370051207408,0.5,"sun_valley","neighborhood"
37.672404774966,-122.485407494169,0,"st._francis","neighborhood"
34.1840875489554,-118.59337328442,0.5,"warner_center","neighborhood"
34.0741919117864,-118.380142305153,0.5,"beverly_grove","neighborhood"
34.049855417312,-118.387407091654,0,"pico_-_robertson","neighborhood"
37.6588142729184,-122.463496134674,0.5,"serramonte","neighborhood"
37.6514776582171,-122.461929967004,0,"westborough","neighborhood"
34.0335009355971,-118.345489318891,0.5,"jefferson_park","neighborhood"
34.0348619589533,-118.278622598023,0.5,"university_park","neighborhood"
34.0083388550902,-118.279652664989,0.5,"historic_south_central","neighborhood"
33.9974799169601,-118.326591824411,0.5,"park_mesa_heights","neighborhood"
33.9784690703821,-118.296974107529,0.5,"vermont-slauson","neighborhood"
38.770733859492,-121.352453171494,0.5,"sun_city","neighborhood"
38.7729988314983,-121.335511519406,0,"quail_glen","neighborhood"
34.1191239789982,-117.213263447575,0.5,"cypress","neighborhood"
34.1249030741415,-117.213112858865,0.5,"san_andreas","neighborhood"
34.0561413874182,-117.183648438528,0,"downtown_redlands","neighborhood"
32.6941546714331,-117.090176480903,1,"lincoln_park","neighborhood"
33.9349139608805,-118.228003643979,0.5,"watts","neighborhood"
34.0380071207897,-117.489058988214,0.5,"southridge_village","neighborhood"
34.096153920876,-117.341181327409,0.5,"rancho_west","neighborhood"
