,,cached_contextual_semantic,triple_jaccard,size_similarity,structural_similarity
7,8,0.4693906605243683,0.0,0.76,0.9826519821703779
7,9,0.3439832925796509,0.0,0.1578947368421053,0.9279469602300384
7,11,0.45289838314056396,0.0,0.3653846153846154,0.993963083899528
7,12,0.39624840021133423,0.0,1.0,0.9867797326516544
7,13,0.4633464813232422,0.0,0.736842105263158,0.9912866845750691
7,14,0.36554571986198425,0.0,0.736842105263158,0.9769674082942744
7,15,0.412667840719223,0.0,0.26027397260273977,0.9681412791033251
7,16,0.3985552191734314,0.0,0.8636363636363636,0.993137909400716
7,17,0.3401428461074829,0.0,0.42105263157894735,0.9611630956893317
7,18,0.5089573860168457,0.0,0.5277777777777778,0.9609224426255566
7,19,0.30775266885757446,0.0,0.3157894736842105,0.9817967486206488
7,20,0.36951538920402527,0.0,0.7916666666666666,0.9971542244463487
7,21,0.4699442982673645,0.0,0.9047619047619048,0.9958927195125227
7,22,0.36397597193717957,0.0,0.5588235294117647,0.9926810989686337
7,23,0.39269137382507324,0.0,0.9047619047619048,0.9707086859343454
7,24,0.46335169672966003,0.0,0.5277777777777778,0.9920054434735843
7,25,0.4344905614852905,0.0,0.5588235294117647,0.9984024592116044
7,26,0.32530003786087036,0.0,0.6842105263157895,0.9829540880805668
7,28,0.46802306175231934,0.0,0.4222222222222223,0.9975521361690773
7,29,0.4049363136291504,0.0,0.5263157894736843,0.9812158318923183
7,30,0.5031068325042725,0.0,0.4130434782608695,0.9968991918240142
7,31,0.4531182646751404,0.0,0.5277777777777778,0.9931681407245884
7,32,0.3457556366920471,0.0,0.9047619047619048,0.9866172525963195
7,35,0.21379442512989044,0.0,0.052631578947368474,0.8150154366274501
7,36,0.4312458038330078,0.0,0.3015873015873016,0.9975138275397876
7,37,0.47207269072532654,0.0,0.21052631578947367,0.95459671518446
7,38,0.4373100697994232,0.0,0.95,0.9872195572592416
7,42,0.28610238432884216,0.0,0.1578947368421053,0.9031457724568884
7,43,0.4132761061191559,0.0,0.2134831460674157,0.9731639642039165
7,44,0.24878934025764465,0.0,0.21052631578947367,0.9041165513422283
7,45,0.4005798101425171,0.0,0.21052631578947367,0.9265776360349978
7,47,0.3787868320941925,0.0,0.368421052631579,0.9651763292898725
7,48,0.3780788779258728,0.0,0.1578947368421053,0.9376357062779027
7,49,0.368434339761734,0.0,0.10526315789473684,0.8939273585477199
7,50,0.37219077348709106,0.0,0.8947368421052632,0.9840940927143409
7,51,0.5103188157081604,0.0,0.4871794871794872,0.996050047010427
7,52,0.5097247362136841,0.0,0.39583333333333337,0.9894507576309861
7,53,0.5097247362136841,0.0,0.39583333333333337,0.9894507576309861
7,54,0.49178674817085266,0.0,0.09313725490196079,0.9462555921671808
7,56,0.3893345892429352,0.0,0.95,0.9984669617175157
7,57,0.2911042869091034,0.0,0.3157894736842105,0.9416032061881188
7,58,0.4447210133075714,0.0,0.6785714285714286,0.9963654585784332
7,59,0.3846569061279297,0.0,0.9047619047619048,0.9932169417863044
7,61,0.3703310489654541,0.0,0.5263157894736843,0.9609760230639621
7,63,0.4516834020614624,0.0,0.5789473684210527,0.9904222232633839
7,65,0.3913878798484802,0.0,0.6842105263157895,0.9892833265997317
7,67,0.3967173099517822,0.0,0.8947368421052632,0.9831235610781184
7,70,0.4743061065673828,0.0,0.1578947368421053,0.9293207432545134
7,71,0.5106022953987122,0.0,0.736842105263158,0.9985998818033297
7,72,0.44714951515197754,0.0,0.8947368421052632,0.9438861579655332
7,73,0.46242547035217285,0.0,0.7894736842105263,0.9811045605213858
7,74,0.4584934711456299,0.0,0.5428571428571429,0.9921286786100952
7,75,0.3972216546535492,0.0,0.37254901960784315,0.9970935991240161
7,76,0.230279341340065,0.0,0.10526315789473684,0.9177625492273894
7,77,0.39884889125823975,0.0,0.4736842105263158,0.9924675273684761
7,78,0.4641539454460144,0.0,0.30645161290322576,0.9936845425449585
7,79,0.3792506158351898,0.0,0.29230769230769227,0.9880359170669669
7,80,0.4271853566169739,0.0,0.3392857142857143,0.9930263395158417
7,81,0.42771339416503906,0.0,0.5588235294117647,0.9969559831568219
7,82,0.47360649704933167,0.0,0.4042553191489362,0.9942313633755755
7,83,0.46654313802719116,0.0,0.2676056338028169,0.9859340664512777
7,84,0.4256887435913086,0.0,0.8260869565217391,0.9989625825087547
7,85,0.4774095118045807,0.0,0.5,0.9971183144674673
7,86,0.3672030568122864,0.0,0.1578947368421053,0.9279469602300384
7,87,0.37799298763275146,0.0,0.95,0.9862671318292192
7,88,0.39443355798721313,0.0,0.631578947368421,0.9685923184874222
7,89,0.33572712540626526,0.0,0.21052631578947367,0.9660363625061634
7,90,0.3546768128871918,0.0,0.3157894736842105,0.9541833762060554
7,92,0.37619149684906006,0.0,0.7916666666666666,0.9969867987388896
7,93,0.3896175026893616,0.0,0.5135135135135135,0.9947560690607316
7,94,0.4975630044937134,0.0,0.7916666666666666,0.9835748028476327
7,95,0.37871432304382324,0.0,0.5263157894736843,0.9495903251796486
7,96,0.4040254056453705,0.0,0.45238095238095233,0.9956559087636533
7,97,0.4078562259674072,0.0,0.736842105263158,0.9736796970208713
7,98,0.4435102641582489,0.0,0.26315789473684215,0.9683969169805586
7,99,0.4131915867328644,0.0,0.5263157894736843,0.9800517181999951
7,100,0.29494157433509827,0.0,0.8421052631578947,0.9877111421592721
7,101,0.420665979385376,0.0,0.5263157894736843,0.9728890875067686
7,103,0.4030672013759613,0.0,1.0,0.990918100638601
7,104,0.33659297227859497,0.0,0.3157894736842105,0.9758730736240315
7,105,0.4166639447212219,0.0,0.34545454545454546,0.9970541338559783
7,106,0.3411315977573395,0.0,0.8260869565217391,0.9959649970255743
7,110,0.4296514093875885,0.0,0.2753623188405797,0.9924885727541196
7,111,0.46139371395111084,0.0,0.5135135135135135,0.9928335817943889
7,112,0.42740607261657715,0.0,0.3157894736842105,0.936664471211363
7,113,0.33925661444664,0.0,0.8260869565217391,0.9991067934492037
